Activity code,Description,Eurostat sector,Comment
1,Combustion installations with a rated thermal input exceeding 20 MW,N/A,
2,Mineral oil refineries,NRG_PR_E,Energy consumption by petroleum refineries
3,Coke ovens,NRG_CO_E,Energy consumption by coke ovens
4,Metal ore (including sulphide ore) roasting or sintering installations,"FC_IND_IS_E, FC_IND_NFM_E",Should be weighted based on ferrous vs non-ferrous processing plants
5,Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting,FC_IND_IS_E,
6,Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces,FC_IND_NMM_E,
7,Installations for the manufacture of glass including glass fibre,FC_IND_NMM_E,
8,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",FC_IND_NMM_E,
9,Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board,FC_IND_PPP_E,
10,Aircraft operator activities,N/A,
20,Combustion of fuels,N/A,
21,Refining of mineral oil,NRG_PR_E,
22,Production of coke,NRG_CO_E,
23,Metal ore roasting or sintering,"FC_IND_IS_E, FC_IND_NFM_E",Should be weighted based on ferrous vs non-ferrous processing plants
24,Production of pig iron or steel,FC_IND_IS_E,
25,Production or processing of ferrous metals,FC_IND_IS_E,
26,Production of primary aluminium,FC_IND_NFM_E,
27,Production of secondary aluminium,FC_IND_NFM_E,
28,Production or processing of non-ferrous metals,FC_IND_NFM_E,
29,Production of cement clinker,FC_IND_NMM_E,
30,"Production of lime, or calcination of dolomite/magnesite",FC_IND_NMM_E,
31,Manufacture of glass,FC_IND_NMM_E,
32,Manufacture of ceramics,FC_IND_NMM_E,
33,Manufacture of mineral wool,FC_IND_NMM_E,
34,Production or processing of gypsum or plasterboard,FC_IND_NMM_E,
35,Production of pulp,FC_IND_PPP_E,
36,Production of paper or cardboard,FC_IND_PPP_E,
37,Production of carbon black,FC_IND_CPC_E,
38,Production of nitric acid,FC_IND_CPC_E,
39,Production of adipic acid,FC_IND_CPC_E,
40,Production of glyoxal and glyoxylic acid,FC_IND_CPC_E,
41,Production of ammonia,FC_IND_CPC_E,
42,Production of bulk chemicals,FC_IND_CPC_E,
43,Production of hydrogen and synthesis gas,FC_IND_CPC_E,
44,Production of soda ash and sodium bicarbonate,FC_IND_CPC_E,
45,Capture of greenhouse gases under Directive 2009/31/EC,N/A,
46,Transport of greenhouse gases under Directive 2009/31/EC,N/A,
47,Storage of greenhouse gases under Directive 2009/31/EC,N/A,
99,Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC,FC_IND_NSP_E,
B,Mining and quarrying,Other Industrial Sectors,
C10,Manufacture of food products,"Food, beverages and tobacco",
C11,Manufacture of beverages,"Food, beverages and tobacco",
C12,Manufacture of tobacco products,"Food, beverages and tobacco",
C13,Manufacture of textiles,Textiles and leather,
C14,Manufacture of wearing apparel,Textiles and leather,
C15,Manufacture of leather and related products,Textiles and leather,
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Wood and wood products,
C17,Manufacture of paper and paper products,"Pulp, paper and printing",
C18,Printing and reproduction of recorded media,"Pulp, paper and printing",
C20,Manufacture of chemicals and chemical products,Chemicals Industry,
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Chemicals Industry,
C22,Manufacture of rubber and plastic products,Other Industrial Sectors,
C23,Manufacture of other non-metallic mineral products,Non-metallic mineral products,
C24,Manufacture of basic metals,Metals,
C25,"Manufacture of fabricated metal products, except machinery and equipment",Machinery Equipment,
C26,"Manufacture of computer, electronic and optical products",Machinery Equipment,
C27,Manufacture of electrical equipment,Machinery Equipment,
C28,Manufacture of machinery and equipment n.e.c.,Machinery Equipment,
C29,"Manufacture of motor vehicles, trailers and semi-trailers",Transport Equipment,
C30,Manufacture of other transport equipment,Transport Equipment,
C31,Manufacture of furniture,Other Industrial Sectors,
C32,Other manufacturing,Other Industrial Sectors,
F,Construction,Other Industrial Sectors,
2(a),Metal ore (including sulphide ore) roasting or sintering installations,Metals,Cannot allocate to either ferrous/nonferrous metals
2(b),Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,Iron and steel,
2(c),"Installations for the processing of ferrous metals. Note to reporters, use Level 3 activity e.g. 2(c)(i), in preference to 2(c). Level 2 activity class (i.e. 2(c)) only to be used where Level 3 is not available.",Iron and steel,
2(c)(i),"Installations for the processing of ferrous metals, Hot-rolling mills",Iron and steel,
2(c)(ii),"Installations for the processing of ferrous metals, Smitheries with hammers",Iron and steel,
2(c)(iii),"Installations for the processing of ferrous metals, Application of protective fused metal coats",Iron and steel,
2(d),Ferrous metal foundries with a production capacity of 20 tonnes per day,Iron and steel,
2(e),"Installations for the production and/or smelting of non-ferrous metals. Note to reporters, use Level 3 activity e.g. 2(e)(i), in preference to 2(e). Level 2 activity class (i.e. 2(e)) only to be used where Level 3 is not available.",Non Ferrous Metals,
2(e)(i),"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",Non Ferrous Metals,
2(e)(ii),"Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)",Non Ferrous Metals,
3(a),Underground mining and related operations,Mining,
3(b),Opencast mining and quarrying,Mining,
3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",Non-metallic minerals,
3(c)(i),Installations for the production of cement clinker in rotary kilns,Non-metallic minerals,
3(c)(ii),Installations for the production of lime in rotary kilns,Non-metallic minerals,
3(c)(iii),Installations for the production of cement clinker or lime in other furnaces,Non-metallic minerals,
3(e),"Installations for the manufacture of glass, including glass fibre",Non-metallic minerals,
3(f),"Installations for melting mineral substances, including the production of mineral fibres",Non-metallic minerals,
3(g),"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",Non-metallic minerals,
4(a),"Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.",Chemicals Industry,
4(a)(i),"Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)",Chemicals Industry,
4(a)(ii),"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",Chemicals Industry,
4(a)(iii),Chemical installations for the production on an industrial scale of basic organic chemicals: Sulphurous hydrocarbons,Chemicals Industry,
4(a)(iv),"Chemical installations for the production on an industrial scale of basic organic chemicals: Nitrogenous hydrocarbons such as amines, amides, nitrous compounds, nitro compounds or nitrate compounds, nitriles, cyanates, isocyanates",Chemicals Industry,
4(a)(v),Chemical installations for the production on an industrial scale of basic organic chemicals: Synthetic rubbers,Chemicals Industry,
4(a)(vi),Chemical installations for the production on an industrial scale of basic organic chemicals: Phosphorus-containing hydrocarbons,Chemicals Industry,
4(a)(vii),Chemical installations for the production on an industrial scale of basic organic chemicals: Halogenic hydrocarbons,Chemicals Industry,
4(a)(viii),Chemical installations for the production on an industrial scale of basic organic chemicals: Organometallic compounds,Chemicals Industry,
4(a)(ix),"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",Chemicals Industry,
4(a)(x),Chemical installations for the production on an industrial scale of basic organic chemicals: Dyes and pigments,Chemicals Industry,
4(a)(xi),Chemical installations for the production on an industrial scale of basic organic chemicals: Surface-active agents and surfactants,Chemicals Industry,
4(b),"Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.",Chemicals Industry,
4(b)(i),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Gases, such as ammonia, chlorine or hydrogen chloride, fluorine or hydrogen fluoride, carbon oxides, sulphur compounds, nitrogen oxides, hydrogen, sulphur dioxide, carbonyl chloride",Chemicals Industry,
4(b)(ii),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Acids, such as chromic acid, hydrofluoric acid, phosphoric acid, nitric acid, hydrochloric acid, sulphuric acid, oleum, sulphurous acids",Chemicals Industry,
4(b)(iii),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Bases, such as ammonium hydroxide, potassium hydroxide, sodium hydroxide",Chemicals Industry,
4(b)(iv),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate",Chemicals Industry,
4(b)(v),"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide",Chemicals Industry,
4(c),"Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)",Chemicals Industry,
4(d),Chemical installations for the production on an industrial scale of basic plant health products and of biocides,Chemicals Industry,
4(e),Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products,Chemicals Industry,
4(f),Installations for the production on an industrial scale of explosives and pyrotechnic products,Chemicals Industry,
6(a),Industrial plants for the production of pulp from timber or similar fibrous materials,"pulp, paper and printing",
6(b),"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)","pulp, paper and printing",
6(c),Industrial plants for the preservation of wood and wood products with chemicals,"pulp, paper and printing",
8(b),"Treatment and processing intended for the production of food and beverage products. Note to reporters, use Level 3 activity e.g. 8(b)(i), in preference to 8(b). Level 2 activity class (i.e. 8(b)) only to be used where Level 3 is not available.","Food, beverages and tobacco",
8(b)(i),Treatment and processing intended for the production of food and beverage products from animal raw materials (other than milk),"Food, beverages and tobacco",
8(b)(ii),Treatment and processing intended for the production of food and beverage products from vegetable raw materials,"Food, beverages and tobacco",
8(c),Treatment and processing of milk,"Food, beverages and tobacco",
9(a),"Plants for the pre-treatment (operations such as washing, bleaching, mercerisation) or dyeing of fibres or textiles",Textiles and leather,
9(b),Plants for the tanning of hides and skins,Textiles and leather,
9(c),"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",Other Industrial Sectors,
9(e),"Installations for the building of, and painting or removal of paint from ships with a capacity for ships 100 m long",Other Industrial Sectors,
,,,
Sources:,,,
activity codes,https://ec.europa.eu/clima/sites/clima/files/ets/registry/docs/compliance_2018_code_en.xlsx,,
,https://www.emissions-euets.com/attachments/166_ANNEX%20I%20TO%20%20DIRECTIVE%202003_87_EC.pdf,,
,https://www.eea.europa.eu/data-and-maps/data/industrial-reporting-under-the-industrial/database-structure-and-use-information/eprtr_lcp_metadata_v1/at_download/file,,
Eurostat sectors,https://ec.europa.eu/eurostat/documents/38154/4956218/ENERGY-BALANCE-GUIDE-DRAFT-31JANUARY2019.pdf/cf121393-919f-4b84-9059-cdf0f69ec045,,
,https://ec.europa.eu/eurostat/documents/3859598/5902521/KS-RA-07-015-EN.PDF,,
,https://ec.europa.eu/eurostat/documents/38154/4956218/Energy-Balance-Formulas.xlsx/cc2f9ade-5c0b-47b5-b83d-c05fe86eef6c,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,